Aarstal;Indkomstgruppe;Katergori;Average;inflation_t-1;inflation_t+12;Forbrug
2006;Under 250.000 kr.;00 Forbrugerprisindekset i alt;83,69166667;;2,008333333;180310
2006;Under 250.000 kr.;01.1 Foedevarer;80,98333333;;4,45;20183
2006;Under 250.000 kr.;01.2 Ikke-alkoholiske drikkevarer;82,675;;4,191666667;2180
2006;Under 250.000 kr.;02.1 Alkoholiske drikkevarer;82,44166667;;1,741666667;2467
2006;Under 250.000 kr.;02.2 Tobak;67,21666667;;1,716666667;4324
2006;Under 250.000 kr.;03.1 Beklaedning;104,4833333;;-2,991666667;5573
2006;Under 250.000 kr.;03.2 Fodtoej;67,56666667;;4,991666667;2057
2006;Under 250.000 kr.;04.1 Faktisk husleje;80,475;;2,066666667;37822
2006;Under 250.000 kr.;04.2 Beregnet lejevaerdi af bolig;80,375;;2,083333333;9476
2006;Under 250.000 kr.;04.3 Vedligeholdelse og reparation af bolig;79,13333333;;5,025;1940
2006;Under 250.000 kr.;04.4 Vandforsyning og andre tjenester i forbindelse med boligen;73,05;;8,3;4423
2006;Under 250.000 kr.;04.5 Elektricitet, gas og andet braendsel;82,54166667;;0,291666667;16044
2006;Under 250.000 kr.;05.1 Moebler og boligudstyr, taepper og anden gulvbelgning;94,575;;0,416666667;3082
2006;Under 250.000 kr.;05.2 Boligtekstiler;87,025;;0,041666667;819
2006;Under 250.000 kr.;05.3 Husholdningsapparater og reparation heraf;104,7583333;;0,516666667;973
2006;Under 250.000 kr.;05.4 Glas, service og husholdningsredskaber;85,19166667;;2,341666667;828
2006;Under 250.000 kr.;05.5 Vaerktoej og udstyr til hus og have;90,73333333;;0,816666667;577
2006;Under 250.000 kr.;05.6 Andre varer og tjenester til husholdningen;85,94166667;;2,45;1636
2006;Under 250.000 kr.;06.1 Medicinske produkter, apparater og medicinsk udstyr;96,63333333;;-2,183333333;2992
2006;Under 250.000 kr.;06.2 Ambulant behandling;82,6;;2,65;2354
2006;Under 250.000 kr.;06.3 Hospitalstjenester;90,04166667;;2,658333333;18
2006;Under 250.000 kr.;07.1 koeb af koeretoejer;106,0083333;;-0,891666667;2774
