REF_YR,region,kategori,beskrivelse,forbrug,inflation_t_tminus1,inflation_t_tplus1
2007,1,01.1,Fødevarer,31585,1.0445,1.077583333333333
2007,1,01.2,Ikke-alkoholiske drikkevarer,3190,1.041916666666667,1.072666666666667
2007,1,02.1,Alkoholiske drikkevarer,4703,1.017416666666667,1.07675
2007,1,02.2,Tobak,3087,1.017166666666667,1.020666666666667
2007,1,03.1,Beklædning,14824,.9700833333333333,.9940833333333333
2007,1,03.2,Fodtøj,4206,1.049916666666667,1.005
2007,1,04.1,Faktisk husleje,26739,1.020666666666667,1.026083333333333
2007,1,04.2,Beregnet lejeværdi af bolig,25108,1.020833333333333,1.022833333333333
2007,1,04.3,Vedligeholdelse og reparation af bolig,9840,1.05025,1.0445
2007,1,04.4,Vandforsyning og andre tjenester i forbindelse med boligen,7415,1.083,1.0655
2007,1,04.5,"Elektricitet, gas og andet brændsel",19161,1.002916666666667,1.063
2007,1,05.1,"Møbler og boligudstyr, tæpper og anden gulvbelægning",8850,1.004166666666667,1.019666666666667
2007,1,05.2,Boligtekstiler,1259,1.000416666666667,1.013083333333333
2007,1,05.3,Husholdningsapparater og reparation heraf,2941,1.005166666666667,1.007833333333333
2007,1,05.4,"Glas, service og husholdningsredskaber",1734,1.023416666666667,1.02175
2007,1,05.5,Værktøj og udstyr til hus og have,1634,1.008166666666667,1.01575
2007,1,05.6,Andre varer og tjenester til husholdningen,3814,1.0245,1.03825
2007,1,06.1,"Medicinske produkter, apparater og medicinsk udstyr",4090,.9781666666666666,.9551666666666667
2007,1,06.2,Ambulant behandling,3718,1.0265,1.03375
2007,1,06.3,Hospitalstjenester,105,1.026583333333333,1.0175
2007,1,07.1,Køb af køretøjer,15402,.9910833333333333,.9903333333333333
2007,1,07.2,Drift af personlige transportmidler,18875,1.027416666666667,1.051416666666667
2007,1,07.3,Transporttjenester,8419,1.046833333333333,1.04775
2007,1,08.1,Posttjenester,339,1.02325,1.1405
2007,1,08.2,Telefon- og telefaxudstyr,530,.8786666666666666,.82375
2007,1,08.3,Teletjenester,5836,.9919166666666667,1.001833333333333
2007,1,09.1,Audiovisuelt og fotografisk udstyr og dataudstyr,9914,.8981666666666667,.9135833333333333
2007,1,09.2,Andre større varige forbrugsgoder til fritids- og kulturaktiviteter,6644,1.005083333333333,.9571666666666666
2007,1,09.3,"Andet tilbehør og udstyr til fritid, haver og kæledyr",7343,1.01825,1.018333333333333
2007,1,09.4,Fritids- og kulturtjenester,10539,1.048,1.035
2007,1,09.5,"Aviser, bøger og papirvarer",4444,1.048,1.0385
2007,1,09.6,Pakkerejser,6802,1.0325,1.035666666666667
2007,1,10.,Uddannelse,1298,1.041,1.037666666666667
2007,1,11.1,"Restauranter, cafeer og kantiner mv.",14588,1.024166666666667,1.045833333333333
2007,1,11.2,Overnatningsfaciliteter,3621,1.037583333333333,1.03125
2007,1,12.1,Personlig pleje,7630,1.026916666666667,1.0285
2007,1,12.3,Andre personlige effekter,1974,1.036,1.048166666666667
2007,1,12.4,Daginstitutioner og social forsorg,3477,1.025666666666667,1.061666666666667
2007,1,12.5,Forsikring,11385,1.01225,1.02175
2007,1,12.6,Finansielle tjenester,1563,.9581666666666666,.9578333333333333
2007,1,12.7,Andre tjenester,1020,1.058666666666667,1.056833333333333
2007,2,01.1,Fødevarer,33800,1.042666666666667,1.075666666666667
2007,2,01.2,Ikke-alkoholiske drikkevarer,3281,1.050166666666667,1.07475
2007,2,02.1,Alkoholiske drikkevarer,4124,1.01625,1.07025
2007,2,02.2,Tobak,3425,1.017666666666667,1.019166666666667
2007,2,03.1,Beklædning,13363,.9714166666666667,.99725
2007,2,03.2,Fodtøj,2713,1.045416666666667,1.0075
2007,2,04.1,Faktisk husleje,14494,1.02025,1.03
2007,2,04.2,Beregnet lejeværdi af bolig,29546,1.020833333333333,1.022833333333333
2007,2,04.3,Vedligeholdelse og reparation af bolig,6546,1.045166666666667,1.042666666666667
2007,2,04.4,Vandforsyning og andre tjenester i forbindelse med boligen,8358,1.08175,1.06625
2007,2,04.5,"Elektricitet, gas og andet brændsel",24192,1.004083333333333,1.077333333333333
2007,2,05.1,"Møbler og boligudstyr, tæpper og anden gulvbelægning",6404,1.007,1.01975
2007,2,05.2,Boligtekstiler,1356,1.0045,1.01825
2007,2,05.3,Husholdningsapparater og reparation heraf,2799,1.02475,1.00925
2007,2,05.4,"Glas, service og husholdningsredskaber",1658,1.020333333333333,1.02575
2007,2,05.5,Værktøj og udstyr til hus og have,2543,1.0085,1.01525
2007,2,05.6,Andre varer og tjenester til husholdningen,3699,1.025333333333333,1.036833333333333
2007,2,06.1,"Medicinske produkter, apparater og medicinsk udstyr",6152,.9833333333333334,.9780833333333333
2007,2,06.2,Ambulant behandling,4646,1.0275,1.03375
2007,2,06.3,Hospitalstjenester,95,1.026583333333333,1.0175
2007,2,07.1,Køb af køretøjer,28134,.9915833333333334,.9910833333333333
2007,2,07.2,Drift af personlige transportmidler,28106,1.026666666666667,1.0565
2007,2,07.3,Transporttjenester,5152,1.041833333333333,1.051416666666667
2007,2,08.1,Posttjenester,243,1.02325,1.1405
2007,2,08.2,Telefon- og telefaxudstyr,632,.8868333333333334,.8325833333333333
2007,2,08.3,Teletjenester,6018,1.00325,.9995833333333334
2007,2,09.1,Audiovisuelt og fotografisk udstyr og dataudstyr,8990,.91475,.92225
2007,2,09.2,Andre større varige forbrugsgoder til fritids- og kulturaktiviteter,3176,1.0145,1.012166666666667
2007,2,09.3,"Andet tilbehør og udstyr til fritid, haver og kæledyr",11531,1.004833333333333,1.01175
2007,2,09.4,Fritids- og kulturtjenester,8719,1.039916666666667,1.030833333333333
2007,2,09.5,"Aviser, bøger og papirvarer",4100,1.044916666666667,1.036
2007,2,09.6,Pakkerejser,8139,1.0325,1.035666666666667
2007,2,10.,Uddannelse,2654,1.043583333333333,1.040666666666667
2007,2,11.1,"Restauranter, cafeer og kantiner mv.",12482,1.024583333333333,1.046416666666667
