"Husstandsopdelte forbrugerprisindeks (2015=100) efter enhed,"
"husstandsgrupper, varegruppe og tid"

" "," "," ","2016M01","2016M02","2016M03","2016M04","2016M05","2016M06","2016M07","2016M08","2016M09","2016M10","2016M11","2016M12"
"Ændring i forhold til samme måned året før (pct.)"
" ","Under 250.000 kr."
" "," ","00 Forbrugerprisindekset i alt",0.4,0.3,0.0,0.0,0.2,0.4,0.0,0.1,0.0,0.1,0.5,0.4
" "," ","01 Fødevarer og ikke-alkoholiske drikkevarer",-0.3,0.4,-1.0,-0.5,0.2,-0.4,-0.4,0.3,-0.4,-0.7,1.1,1.1
" "," ","01.1 Fødevarer",0.2,1.3,-0.6,0.3,0.6,-0.2,0.1,1.0,0.1,-0.1,1.7,1.3
" "," ","01.2 Ikke-alkoholiske drikkevarer",-3.3,-5.4,-4.3,-5.7,-2.3,-2.3,-4.4,-4.8,-3.8,-4.4,-2.8,-0.1
" "," ","02. Alkoholiske drikkevarer og tobak",0.6,0.3,0.3,0.6,0.5,0.4,0.6,1.0,0.5,0.5,0.7,0.4
" "," ","02.1 Alkoholiske drikkevarer",0.9,0.0,-0.1,0.7,0.5,-0.1,0.6,2.0,0.4,0.4,1.0,0.0
" "," ","02.2 Tobak",0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.5
" "," ","03. Beklædning og fodtøj",-0.6,-3.0,-3.9,-3.5,-2.3,-2.5,-2.4,0.2,-2.7,-2.9,-2.7,-2.5
" "," ","03.1 Beklædning",-2.5,-4.9,-5.3,-4.8,-4.0,-4.0,-4.1,-0.9,-4.3,-4.6,-4.6,-4.7
" "," ","03.2 Fodtøj",5.8,4.9,1.5,1.4,3.5,2.7,2.7,4.7,3.4,3.6,4.2,5.3
" "," ","04. Boligbenyttelse, elektricitet og opvarmning",0.9,0.8,0.7,0.8,0.8,0.8,0.3,0.5,0.7,1.1,1.2,1.4
" "," ","04.1 Faktisk husleje",1.8,1.7,1.8,1.7,1.7,1.6,1.3,1.3,1.7,1.7,1.7,1.8
" "," ","04.2 Beregnet lejeværdi af bolig",1.9,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
" "," ","04.3 Vedligeholdelse og reparation af bolig",1.4,2.1,2.3,1.6,1.5,1.5,1.7,2.0,1.4,0.9,1.0,0.4
" "," ","04.4 Vandforsyning og andre tjenester i forbindelse med boligen",0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8
" "," ","04.5 Elektricitet, gas og andet brændsel",-2.5,-2.5,-2.8,-2.5,-2.5,-2.0,-3.6,-3.1,-3.0,-1.1,0.0,0.7
" "," ","05. Møbler, husholdningsudstyr og husholdningstjenester",1.7,0.9,0.2,0.5,0.3,0.7,0.3,-1.0,-2.1,1.0,1.9,0.7
" "," ","05.1 Møbler og boligudstyr, tæpper og anden gulvbelægning",2.0,2.3,-2.4,-1.1,-1.9,-0.9,-1.9,-2.9,-6.5,-1.1,0.5,-4.1
" "," ","05.2 Boligtekstiler",2.9,1.4,4.0,-0.2,1.3,1.5,0.1,4.9,-0.2,2.8,-1.4,-1.9
" "," ","05.3 Husholdningsapparater og reparation heraf",2.5,0.3,-0.2,0.8,2.5,2.2,1.2,-2.0,-0.4,4.7,6.2,8.0
" "," ","05.4 Glas, service og husholdningsredskaber",0.7,-1.1,0.4,2.9,2.8,0.7,4.7,-0.9,1.4,0.5,-0.6,-0.7
" "," ","05.5 Værktøj og udstyr til hus og have",2.3,2.0,2.1,2.2,1.7,1.7,0.6,0.4,-1.8,-1.4,-0.2,-0.1
" "," ","05.6 Andre varer og tjenester til husholdningen",-0.1,-0.2,1.7,-0.5,-0.3,-0.6,-0.2,-0.2,-0.1,0.0,0.7,0.3
" "," ","06. Sundhed",-0.6,-0.9,-0.9,-1.1,-1.0,-0.4,-1.2,-1.1,-1.0,-0.6,-0.5,-0.6
" "," ","06.1 Medicinske produkter, apparater og medicinsk udstyr",-3.0,-4.6,-4.2,-4.8,-4.8,-2.1,-1.3,-0.8,-0.4,0.3,0.5,0.0
" "," ","06.2 Ambulant behandling",1.2,1.2,1.2,0.9,0.9,0.9,0.9,0.9,0.9,2.0,2.0,2.0
" "," ","06.3 Hospitalstjenester",-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-2.3,-2.3,-2.3,-2.0,-2.0,-2.0
" "," ","07. Transport",0.0,-1.7,-2.0,-2.1,-2.1,-2.1,-2.0,-1.6,-0.3,0.1,-0.9,1.2
" "," ","07.1 Køb af køretøjer",-1.4,-1.7,-2.2,-2.5,-2.3,-2.1,-1.9,-2.4,-2.2,-2.3,-2.6,-1.0
" "," ","07.2 Drift af personlige transportmidler",0.5,-3.4,-3.4,-2.9,-2.8,-2.7,-3.9,-2.4,0.5,1.7,0.6,3.8
" "," ","07.3 Transporttjenester",0.8,1.2,0.7,-0.7,-0.9,-1.2,0.3,-0.6,-1.3,-2.1,-2.3,-1.4
" "," ","08. Kommunikation",-1.7,-1.0,-2.8,-2.9,-2.6,-0.5,-9.8,-10.3,-10.2,-10.2,-10.0,-10.1
" "," ","08.1 Posttjenester",53.5,53.5,53.5,53.5,53.5,53.5,82.6,82.6,82.6,82.6,82.6,82.6
" "," ","08.2 Telefon- og telefaxudstyr",-0.1,-1.9,-4.7,-6.7,-7.9,-8.9,-9.5,-9.1,-11.4,-10.8,-9.0,-8.1
" "," ","08.3 Teletjenester",-3.7,-2.8,-4.4,-4.4,-3.8,-1.4,-13.1,-13.6,-13.3,-13.2,-13.5,-13.4
" "," ","09. Fritid og kultur",0.7,0.4,0.2,-0.1,-0.1,1.4,2.1,1.3,1.4,0.9,1.3,-0.1
" "," ","09.1 Audiovisuelt og fotografisk udstyr og dataudstyr",-3.5,-6.8,-6.6,-7.9,-8.5,-8.3,-8.9,-6.9,-7.7,-7.3,-7.9,-8.9
" "," ","09.2 Andre større varige forbrugsgoder til fritids- og kulturaktiviteter",1.3,2.2,1.5,1.7,1.1,1.2,0.8,0.1,0.4,-0.2,-0.3,-1.1
" "," ","09.3 Andet tilbehør og udstyr til fritid, haver og kæledyr",-2.9,-1.9,-1.7,-1.1,-0.4,1.7,3.1,1.5,2.7,3.3,2.8,2.4
" "," ","09.4 Fritids- og kulturtjenester",0.7,1.3,1.1,1.4,3.3,3.4,3.3,3.6,3.7,3.4,3.3,3.3
" "," ","09.5 Aviser, bøger og papirvarer",9.7,16.2,9.6,7.1,1.8,10.0,17.1,6.6,7.0,2.7,8.5,5.6
" "," ","09.6 Pakkerejser",2.5,-1.2,3.0,3.8,1.1,1.9,2.7,2.1,3.1,4.6,0.0,-8.4
" "," ","10. Uddannelse",2.7,2.7,2.7,2.7,2.7,2.7,2.7,4.6,1.9,1.9,1.9,1.9
" "," ","11. Restauranter og hoteller",0.5,1.0,1.2,1.9,2.2,2.2,3.9,3.1,1.8,1.9,1.5,1.4
" "," ","11.1 Restauranter, cafeer og kantiner mv.",0.7,0.7,1.3,1.6,1.6,1.3,1.7,1.8,1.7,1.8,1.7,1.8
" "," ","11.2 Overnatningsfaciliteter",-1.0,9.5,1.2,7.0,12.3,16.6,45.1,23.1,4.0,3.6,-2.2,-4.6
" "," ","12. Andre varer og tjenester",2.3,2.3,2.3,1.5,2.0,1.7,0.9,1.0,1.2,1.2,1.2,1.1
" "," ","12.1 Personlig pleje",-0.4,-0.8,-0.7,-2.2,-0.3,-1.3,-1.4,-1.3,-0.6,-1.4,-2.0,-1.7
" "," ","12.3 Andre personlige effekter",-0.7,-0.5,-0.5,-1.6,-1.2,-1.2,-3.4,-3.3,-3.3,-3.1,-2.8,-2.8
" "," ","12.4 Daginstitutioner og social forsorg",2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
" "," ","12.5 Forsikring",4.1,4.1,4.1,3.7,3.7,3.7,2.2,2.2,2.2,2.2,2.2,2.2
" "," ","12.6 Finansielle tjenester",6.2,6.2,6.2,6.4,6.3,6.3,2.5,2.5,2.5,1.5,1.3,1.3
" "," ","12.7 Andre tjenester",3.1,3.1,2.8,1.1,1.1,1.0,1.0,1.0,1.2,7.4,7.4,7.3
" ","250.000 - 449.999 kr."
" "," ","00 Forbrugerprisindekset i alt",0.7,0.3,0.0,0.1,0.3,0.5,0.5,0.4,0.1,0.3,0.4,0.6
" "," ","01 Fødevarer og ikke-alkoholiske drikkevarer",-0.3,0.6,-0.8,-0.3,0.3,-0.3,-0.2,0.3,-0.4,-0.7,1.0,1.1
" "," ","01.1 Fødevarer",0.2,1.4,-0.3,0.5,0.7,0.0,0.3,1.0,0.2,-0.2,1.5,1.3
" "," ","01.2 Ikke-alkoholiske drikkevarer",-3.2,-5.2,-4.1,-5.7,-2.1,-2.2,-4.3,-4.7,-4.0,-4.9,-2.6,-0.2
" "," ","02. Alkoholiske drikkevarer og tobak",0.4,0.0,0.0,0.3,0.3,-0.1,0.3,0.7,0.2,0.1,0.4,0.2
" "," ","02.1 Alkoholiske drikkevarer",0.7,-0.4,-0.6,0.3,0.3,-0.8,0.1,1.5,-0.2,-0.1,0.5,-0.1
" "," ","02.2 Tobak",0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
" "," ","03. Beklædning og fodtøj",0.2,-1.9,-3.9,-3.9,-2.7,-2.3,-1.6,0.8,-2.6,-3.0,-2.8,-2.6
" "," ","03.1 Beklædning",-1.2,-3.6,-5.3,-5.2,-4.3,-3.6,-2.9,-0.1,-4.1,-4.7,-4.5,-4.6
" "," ","03.2 Fodtøj",5.9,5.2,1.3,1.3,3.6,2.9,2.8,4.7,3.2,3.6,4.2,5.2
" "," ","04. Boligbenyttelse, elektricitet og opvarmning",0.7,0.7,0.6,0.7,0.6,0.7,0.3,0.4,0.7,1.0,1.3,1.6
" "," ","04.1 Faktisk husleje",1.9,1.7,1.7,1.6,1.6,1.5,1.0,1.0,1.6,1.6,1.7,1.7
" "," ","04.2 Beregnet lejeværdi af bolig",1.9,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
" "," ","04.3 Vedligeholdelse og reparation af bolig",1.7,2.5,3.2,2.3,1.7,1.6,2.1,2.2,1.9,1.1,1.0,0.2
" "," ","04.4 Vandforsyning og andre tjenester i forbindelse med boligen",1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
" "," ","04.5 Elektricitet, gas og andet brændsel",-2.8,-2.9,-3.2,-2.7,-2.7,-2.0,-3.3,-2.8,-2.7,-1.0,0.2,1.3
" "," ","05. Møbler, husholdningsudstyr og husholdningstjenester",1.0,0.7,0.0,0.0,0.4,-0.2,-0.2,-1.4,-2.9,-0.5,-0.4,-1.6
" "," ","05.1 Møbler og boligudstyr, tæpper og anden gulvbelægning",3.5,3.4,-1.3,0.3,-0.8,-0.1,-1.2,-2.5,-5.4,-0.8,0.4,-2.9
" "," ","05.2 Boligtekstiler",-0.5,0.5,4.1,-0.1,2.8,-1.3,0.2,3.5,-1.5,3.1,-2.1,-0.8
